Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
144;Profesor Agregado 3 Tiempo Completo;3.Otros Regimenes Especiales;11890;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
145;Profesor Principal 1 Tiempo Completo;3.Otros Regimenes Especiales;11580;Profesor Principal;4,709.22;56510.64;392.44;39.17;0;0;431.61
146;Analista Tecnico Del Observatorio Astronomico;1.Servicio Civil Publico (Losep);15566;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
147;Profesor Auxiliar 2 Tiempo Completo;3.Otros Regimenes Especiales;12875;Profesor Auxiliar;2,786.52;33438.24;232.21;39.17;0;0;271.38
148;Analista de Talento Humano 1 ..;1.Servicio Civil Publico (Losep);14130;Asistente;1,212.00;14544;101;39.17;81.55;0;221.72
149;Especialista de Presupuesto 2;1.Servicio Civil Publico (Losep);15917;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
150;Profesor Titular Principal de Escalafon Previo Tiempo Parcial;3.Otros Regimenes Especiales;11615;Personal Academico Principal;1,845.79;22149.48;153.82;39.17;0;0;192.99
151;Especialista En Tecnicas de Analisis Quimico;1.Servicio Civil Publico (Losep);15653;Uep Nivel Profesional A3;1,866.32;22395.84;155.53;39.17;0;0;194.7
152;Especialista de Tecnologias de la Información y Comunicaciones 3.;1.Servicio Civil Publico (Losep);15696;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
153;Tesorero Cec;1.Servicio Civil Publico (Losep);15975;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
154;Asistente de Tecnologias de la Informacion y Comunicaciones;1.Servicio Civil Publico (Losep);15871;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
155;Responsable de Medicina General;1.Servicio Civil Publico (Losep);15988;Servidor Publico 8 De La Salud;1,760.00;21120;146.67;39.17;0;0;185.84
156;Profesor Agregado 2 Tiempo Completo;3.Otros Regimenes Especiales;13035;Profesor Agregado;4,528.09;54337.08;377.34;39.17;0;0;416.51
157;Especialista de Tecnologias de la Información y Comunicaciones 3.;1.Servicio Civil Publico (Losep);15739;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
158;Responsable de Secretaria General;1.Servicio Civil Publico (Losep);16083;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
159;Subdecano;3.Otros Regimenes Especiales;105;Autoridades Academicas Nivel 1;3,996.04;47952.48;333;39.17;0;0;372.17
160;Analista de Tesoreria 2 de la Ugips;1.Servicio Civil Publico (Losep);15934;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;182.28;0;339.12
161;Analista de Talento Humano 2;1.Servicio Civil Publico (Losep);10385;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
162;Secretaria Ejecutiva 1;1.Servicio Civil Publico (Losep);15519;Uep Nivel Profesional Apoyo Tecnico A4;901;10812;75.08;39.17;0;0;114.25
163;Recepcionista Especializado;1.Servicio Civil Publico (Losep);15801;Uep Nivel Administrativo A5;817;9804;68.08;39.17;0;0;107.25
164;Analista de Redes de Monitoreo Geofisico 3;1.Servicio Civil Publico (Losep);15737;Uep Nivel Profesional A3;1,760.00;21120;146.67;39.17;0;0;185.84
165;Contador Cec;1.Servicio Civil Publico (Losep);15977;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
166;Especialista de Laboratorio de Ensayos 1;1.Servicio Civil Publico (Losep);15644;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
167;Asistente de Laboratorio de Ensayo;1.Servicio Civil Publico (Losep);15930;Uep Nivel Profesional Apoyo Tecnico A4;986;11832;82.17;39.17;0;0;121.34
168;Analista de Servicios y Soporte Al Usuario 2;1.Servicio Civil Publico (Losep);10110;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
169;Especialista de Tecnologias de la Información y Comunicaciones 2.;1.Servicio Civil Publico (Losep);15576;Uep Nivel Profesional A3;1,412.00;16944;117.67;39.17;0;0;156.84
170;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11650;Personal Academico Principal;4,041.29;48495.48;336.77;39.17;0;0;375.94
171;Profesor Titular Principal de Escalafon Previo Tiempo Completo;3.Otros Regimenes Especiales;11660;Personal Academico Principal;4,031.67;48380.04;335.97;39.17;0;0;375.14
172;Especialista de Tecnologias de la Información y Comunicaciones 3.;1.Servicio Civil Publico (Losep);15763;Uep Nivel Profesional A3;1,676.00;20112;139.67;39.17;0;0;178.84
