Numeración;Puesto Institucional ;Régimen laboral al que pertenece ;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
116;AYUDANTE DE BODEGA;2.CODIGO DEL TRABAJO;291;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
117;AYUDANTE DE BODEGA;2.CODIGO DEL TRABAJO;213;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
118;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;242;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
119;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;419;NIVEL 1;1,030.47;1,030.47;85.87;40.17;0.00;0.00;1,156.51
120;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;313;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
121;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;260;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
122;AYUDANTE DE MANTENIMIENTO;2.CODIGO DEL TRABAJO;258;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
123;AYUDANTE DE MECANICA;2.CODIGO DEL TRABAJO;25;NIVEL 1;998.61;998.61;83.22;40.17;0.00;0.00;1,122.00
124;AYUDANTE DE MECANICA;2.CODIGO DEL TRABAJO;463;NIVEL 1;684.87;684.87;57.07;40.17;0.00;0.00;782.11
125;AYUDANTE DE MECANICA;2.CODIGO DEL TRABAJO;450;NIVEL 1;1,048.39;1,048.39;87.37;40.17;0.00;0.00;1,175.93
126;CHOFER;2.CODIGO DEL TRABAJO;488;NIVEL 1;685.37;685.37;57.11;40.17;0.00;0.00;782.65
127;CHOFER;2.CODIGO DEL TRABAJO;219;NIVEL 1;557.00;557.00;46.42;40.17;22.04;0.00;665.63
128;CONSERJE;2.CODIGO DEL TRABAJO;282;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
129;CONSERJE;2.CODIGO DEL TRABAJO;515;NIVEL 1;561.00;561.00;46.75;40.17;0.00;0.00;647.92
130;CONSERJE;2.CODIGO DEL TRABAJO;433;NIVEL 1;574.00;574.00;47.83;40.17;0.00;0.00;662.00
131;CONSERJE;2.CODIGO DEL TRABAJO;273;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
132;CONSERJE;2.CODIGO DEL TRABAJO;272;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
133;CONSERJE;2.CODIGO DEL TRABAJO;348;NIVEL 1;561.00;561.00;46.75;40.17;0.00;0.00;647.92
134;CONSERJE;2.CODIGO DEL TRABAJO;253;NIVEL 1;557.00;557.00;46.42;40.17;0.00;0.00;643.59
135;CONSERJE;2.CODIGO DEL TRABAJO;544;NIVEL 1;561.00;561.00;46.75;40.17;0.00;0.00;647.92
136;CONSERJE;2.CODIGO DEL TRABAJO;70;NIVEL 1;836.80;836.80;69.73;40.17;0.00;0.00;946.70
137;CONSERJE;2.CODIGO DEL TRABAJO;497;NIVEL 1;762.42;762.42;63.54;40.17;0.00;0.00;866.13
