Numeración;Puesto Institucional;Regimen laboral al que pertenece;Número de partida presupuestaria;Grado jerárquico o escala al que pertenece el puesto;Remuneración mensual unificada;Remuneración unificada (anual);Décimo Tercera Remuneración;Décima Cuarta Remuneración;Horas suplementarias y extraordinarias;Encargos y subrogaciones;Total ingresos adicionales
1104;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23597;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1105;TECNICO DE INVESTIGACION 1;3.OTROS REGIMENES ESPECIALES;23021;PERSONAL DE APOYO (UNIVERSIDADES);1086;4.344,00;814,5;344,97;0;0;1.159,47
1106;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;1230;PERSONAL ACADEMICO PRINCIPAL;4096,33;16.385,32;3.072,24;344,97;0;0;3.417,21
1107;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23022;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1108;DIRECTOR/A FINANCIERO/A;1.SERVICIO CIVIL PUBLICO (LOSEP);8;UEP NIVEL DIRECTIVO A1;3800;15.200,00;2.850,03;344,97;0;0;3.195,00
1109;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1810;PERSONAL ACADEMICO AUXILIAR;2670;10.680,00;2.002,50;344,97;0;0;2.347,47
1110;PROFESOR TITULAR PRINCIPAL DE ESCALAFON PREVIO;3.OTROS REGIMENES ESPECIALES;1240;PERSONAL ACADEMICO PRINCIPAL;3343,28;13.373,12;2.507,49;344,97;0;0;2.852,46
1111;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23512;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1112;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23972;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1113;PSICOLOGO EDUCATIVO;1.SERVICIO CIVIL PUBLICO (LOSEP);85;SERVIDOR PUBLICO 5;1212;4.848,00;909;344,97;0;0;1.253,97
1114;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23905;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1115;PROFESOR/A OCASIONAL MEDIO TIEMPO;3.OTROS REGIMENES ESPECIALES;23807;PROFESOR UNIVERSITARIO;1057,5;4.230,00;793,17;344,97;0;0;1.138,14
1116;ANALISTA DE PLANIFICACION ESTRATEGICA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2925;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1117;COORDINADOR/A DE CARRERA;3.OTROS REGIMENES ESPECIALES;2126;AUTORIDADES ACADEMICAS NIVEL 1;2882,6;11.530,40;2.161,98;344,97;0;0;2.506,95
1118;PROFESOR PRINCIPAL 1 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;1250;PERSONAL ACADEMICO PRINCIPAL;4818,96;19.275,84;3.614,22;344,97;0;0;3.959,19
1119;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2127;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
1120;TRABAJADOR AGRICOLA;2.CODIGO DEL TRABAJO;225;NIVEL 1;594,94;2.379,76;446,22;344,97;0;0;791,19
1121;PROFESOR AUXILIAR 2 TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;2050;PERSONAL ACADEMICO AUXILIAR;2344,96;9.379,84;1.758,69;344,97;0;0;2.103,66
1122;TECNICO DOCENTE 1;3.OTROS REGIMENES ESPECIALES;22758;PERSONAL DE APOYO (UNIVERSIDADES);1212;4.848,00;909;344,97;0;0;1.253,97
1123;DECANO/A DE DESARROLLO ACADEMICO;3.OTROS REGIMENES ESPECIALES;2164;AUTORIDADES ACADEMICAS NIVEL 2;4700;18.800,00;3.525,03;344,97;0;0;3.870,00
1124;ANALISTA DE SOPORTE Y MANTENIMIENTO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2879;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1125;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23598;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1126;ANALISTA DE TESORERIA 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2490;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1127;TECNICO GENERAL DE DESPACHO;1.SERVICIO CIVIL PUBLICO (LOSEP);2698;UEP NIVEL NO PROFESIONAL A4;901;3.604,00;675,72;344,97;0;0;1.020,69
1128;PROFESOR/A OCASIONAL TIEMPO COMPLETO;3.OTROS REGIMENES ESPECIALES;23599;PROFESOR UNIVERSITARIO;2115;8.460,00;1.586,25;344,97;0;0;1.931,22
1129;ANALISTA DE DESARROLLO ACADEMICO 1;1.SERVICIO CIVIL PUBLICO (LOSEP);2678;UEP NIVEL PROFESIONAL A3;1300;5.200,00;974,97;344,97;0;0;1.319,94
1130;CONSERJE;2.CODIGO DEL TRABAJO;524;NIVEL 1;561;2.244,00;420,75;344,97;0;0;765,72
