Unidad;Objetivos;Indicador;Meta cuantificable;Enlace al sistema de gestión de planificación para verificación de los indicadores y metas cuantificables por procesos o niveles
DIRECCIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;IMPULSAR DURANTE EL AÑO 2026 LA AUTOMATIZACIÓN DE LOS PROCESOS INSTITUCIONALES PRIORITARIOS MEDIANTE EL DESARROLLO, INTEGRACIÓN Y PUESTA EN OPERACIÓN DE SOLUCIONES TECNOLÓGICAS, CON EL PROPÓSITO DE MEJORAR LA EFICIENCIA ADMINISTRATIVA, OPTIMIZAR LOS TIEMPOS DE ATENCIÓN, REDUCIR TAREAS MANUALES, FORTALECER EL CONTROL Y TRAZABILIDAD DE LA INFORMACIÓN, Y ASEGURAR SERVICIOS MÁS ÁGILES Y CONFIABLES PARA LA COMUNIDAD INSTITUCIONAL.;SISTEMAS INFORMATICOS IMPLEMENTADOS;10;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
DIRECCIÓN DE COMUNICACIÓN Y RELACIONES PÚBLICAS;GARANTIZAR LA PLANIFICACIÓN, GESTIÓN Y EJECUCIÓN ARTICULADA DE LAS ACCIONES DE COMUNICACIÓN INSTITUCIONAL DURANTE EL AÑO 2026, MEDIANTE LA CONTRATACIÓN Y ADMINISTRACIÓN EFICIENTE DE SERVICIOS DE DIFUSIÓN MULTICANAL, ASEGURANDO LA VISIBILIDAD, EL ALCANCE Y LA PERTINENCIA DE LOS MENSAJES DIRIGIDOS A LA COMUNIDAD INTERNA, EXTERNA Y A LOS DIFERENTES GRUPOS DE INTERÉS.;NIVEL DE PERCEPCIÓN POSITIVA SOBRE LA CLARIDAD, PERTINENCIA Y ALCANCE DE LA INFORMACIÓN INSTITUCIONAL DIFUNDIDA EN EL MEDIO DE COMUNICACIÓN ESCRITO.;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
;;NÚMERO DE TRANSMISIONES Y PUBLICACIONES DIFUNDIDAS EN RADIO, TELEVISIÓN Y MEDIOS DIGITALES DURANTE EL PERÍODO DE CONTRATACIÓN.;100%;
SEDE ORELLANA;FORTALECER LA CAPACIDAD DEL SISTEMA DE EDUCACIÓN SUPERIOR EN LA PROVINCIA DE ORELLANA A TRAVÉS DE LA CREACIÓN DE LA UNIVERSIDAD ESTATAL DE ORELLANA, CON EL FIN DE ATENDER DE MANERA ADECUADA Y EQUITATIVA LA CRECIENTE DEMANDA DE FORMACIÓN DE TERCER NIVEL.;SE CONTARA CON INFRAESTRUCTURA FISICA Y TECNOLOGICA;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
SEDE MORONA SANTIAGO;FORTALECER EL SISTEMA DE ACCESO A UNA EDUCACIÓN SUPERIOR DE CALIDAD Y EQUITATIVA, MEDIANTE LA CREACIÓN DE LA UNIVERSIDAD ESTATAL DE MORONA SANTIAGO. ESTA INICIATIVA PERMITIRÁ AMPLIAR LA COBERTURA EDUCATIVA EN LA PROVINCIA, BRINDANDO OPORTUNIDADES DE FORMACIÓN A JÓVENES Y ADULTOS DE DIVERSOS SECTORES SOCIALES Y CULTURALES INCREMENTANDO ASÍ LA TASA DE MATRICULACIÓN.;A FINALES DEL AÑO 2028 SE CONTARÁ: CON DOS EDIFICIOS EQUIPADOS CON MOBILIARIO Y TECNOLOGÍA EDUCATIVA. TRES LABORATORIOS CONSTRUIDOS, Y PROVISTOS DE EQUIPOS ESPECIALIZADOS PARA ACADEMIA E INVESTIGACIÓN. INFRAESTRUCTURA RECREACIONAL PARA ACTIVIDADES DEPORTIVAS Y DE ESPARCIMIENTO.;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
FACULTAD DE ADMINISTRACIÓN DE EMPRESAS;ASEGURAR LA CALIDAD DE LOS PROCESOS UNIVERSITARIOS EN LA FACULTAD DE ADMINISTRACIÓN DE EMPRESAS, MEDIANTE EL FORTALECIMIENTO ACADÉMICO, LA MEJORA CONTINUA DE LA GESTIÓN INSTITUCIONAL Y LA OPTIMIZACIÓN DE LOS SERVICIOS FORMATIVOS.;CERTIFICACIÓN ISO;1;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
FACULTAD DE CIENCIAS PECUARIAS;"GARANTIZAR EL APROVISIONAMIENTO DE MATERIA PRIMA PARA LA ELABORACION DE BALANCEADO PARA LOS SEMOVIENTES DE LAS UNIDADES ACADEMICAS DE LAS ESTACIONES EXPERIMENTALES Y CAMPUS RIOBAMBA.
";NUMERO DE UNIDADES ACADEMICAS ATENDIDAS;6;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
FACULTAD DE INFORMÁTICA Y ELECTRÓNICA;REPOTENCIAR LOS LABORATORIOS Y TALLERES DE LA CARRERA DE DISENO GRAFICO PARA FORTALER LOS PROCESOS DE ENSENANZA APRENDIZAJE DE LOS ESTUDIANTES DE LA FACULTAD DE INFORMATICA Y ELECTRONICA DE LA ESPOCH;PORCENTAJE DE LABORATORIOS Y TALLERES REPOTENCIADOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
FACULTAD DE MECÁNICA;FORTALECER LOS LABORATORIOS MEDIANTE LA IMPLEMENTACION EQUIPOS QUE PERMITAN ELEVAR LA CALIDAD ACADEMICA FORTALECIENDO LAS COMPETENCIAS PRACTICAS DE LOS ESTUDIANTES Y PERSONAL DOCENTE CONTRIBUYENDO ASI AL CUMPLIMIENTO DE LOS OBJETIVOS ESTRATEGICOS INSTITUCIONALES DE LA FACULTAD DE MECANICA;EQUIPOS RECIBIDOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
FACULTAD DE RECURSOS NATURALES;BRINDAR LAS CONDICIONES ADECUADAS PARA PROVEER SERVICIOS DE CALIDAD A LOS ESTUDIANTES Y DOCENTES DE LA FACULTAD DE RECURSOS NATURALES;NUMERO DE REQUERIMIENTOS ATENDIDOS;100%;https://liveespochedu-my.sharepoint.com/:b:/g/personal/planificacion_espoch_edu_ec/IQDwqLIryH88SqEfYWkx0I8aAXyl1r26lQezRboo82LmA4Q?e=4xtbqK
